Date,N,windows_6,scaled_windows_6,MLEs_6
1995-01-31,0.0,1,1.0,0.0
1995-02-28,6.0,2,1.0,3.0
1995-03-31,5.0,3,1.0,3.6666666666666665
1995-04-30,5.0,4,1.0,4.0
1995-05-31,9.0,5,1.0,5.0
1995-06-30,5.0,6,1.0,5.0
1995-07-31,3.0,7,1.0,4.714285714285714
1995-08-31,7.0,8,1.0,5.0
1995-09-30,6.0,9,1.0,5.111111111111111
1995-10-31,6.0,10,1.0,5.2
1995-11-30,9.0,11,1.0,5.545454545454546
1995-12-31,3.0,12,1.0,5.333333333333333
1996-01-31,8.0,13,1.0,5.538461538461538
1996-02-29,4.0,14,1.0,5.428571428571429
1996-03-31,7.0,15,1.0,5.533333333333333
1996-04-30,5.0,16,1.0,5.5
1996-05-31,5.0,17,1.0,5.470588235294118
1996-06-30,1.0,18,1.0,5.222222222222222
1996-07-31,2.0,19,1.0,5.052631578947368
1996-08-31,4.0,20,1.0,5.0
1996-09-30,6.0,21,1.0,5.0476190476190474
1996-10-31,7.0,22,1.0,5.136363636363637
1996-11-30,4.0,23,1.0,5.086956521739131
1996-12-31,2.0,24,1.0,4.958333333333333
1997-01-31,6.0,25,1.0,5.0
1997-02-28,7.0,26,1.0,5.076923076923077
1997-03-31,7.0,27,1.0,5.148148148148148
1997-04-30,6.0,28,1.0,5.178571428571429
1997-05-31,6.0,29,1.0,5.206896551724138
1997-06-30,9.0,30,1.0,5.333333333333333
1997-07-31,4.0,31,1.0,5.290322580645161
1997-08-31,9.0,32,1.0,5.40625
1997-09-30,4.0,33,1.0,5.363636363636363
1997-10-31,3.0,34,1.0,5.294117647058823
1997-11-30,1.0,35,1.0,5.171428571428572
1997-12-31,1.0,36,1.0,5.055555555555555
1998-01-31,9.0,37,1.0,5.162162162162162
1998-02-28,3.0,38,1.0,5.105263157894737
1998-03-31,7.0,39,1.0,5.153846153846154
1998-04-30,7.0,40,1.0,5.2
1998-05-31,6.0,6,0.14634146341463414,5.5
1998-06-30,6.0,42,1.0,5.238095238095238
1998-07-31,5.0,43,1.0,5.232558139534884
1998-08-31,9.0,44,1.0,5.318181818181818
